preferredLabel;altLabels
ICT product manager;ICT product manager
pricing analyst;pricing specialist
construction project manager;construction project manager
escort;sex worker
psychotherapist;psychotherapist
purser;head of cabin crew
medical imaging and radiation specialist;medical nuclear worker
window fitter;window fitter
shunter;car master
medical secretariat receptionist;chief receptionist medical secretariat
justice of the peace;cantonal judge
judge at the Supreme Court;judge at the Constitutional Court
probation worker;probation officer
social worker probation officer;probation worker
leisure supervisor;leisure supervisor
outdoor coordinator;outdoor activities coordinator
outdoor animator;outdoor activities animator
outdoor activities assistant;outdoor activities assistant
outdoor instructor;outdoor activities instructor
survival instructor;survival instructor
specialised outdoor animator;specialised outdoor activities animator
mountain guide;outdoor leader
secondary school director;school principal
hazardous waste technician;site manager waste recycling
waste incinerator operations technician;waste incinerator operations manager
recycling employee;recycling employee
waste sorter;linen sorter
director of video and cinema films;film director
director of fight scenes;director of fight scenes
director air scenes;director air scenes
accountant;public accountant
public accountant;financial accountant
forensic accountant;forensic financial expert
tour guide;tour manager
remedial teacher;care teacher
book conservator;book restorer
rattan furniture maker;rattan furniture maker
forester;park manager
driving instructor;driving teacher
driving instructor bus;driving school teacher bus
car driving instructor;driving school car instructor
driving instructor for motorbikes;driving school instructor for motorbikes
driving instructor truck;truck instructor
reservation manager;office manager
merchandiser;window dresser
motor vehicle after sales manager;commercial vehicles after sales manager
manager retail promotions;sales manager promotions
plastics and rubber production manager;plastics industry manager
vehicle assembly manager;vehicle assembly foreman
motorbike assembly technician;motorbike assembly worker
automotive engine assembly technician;automotive engine assembly worker
brochure deliverer;brochure clerk
poster fitter;poster assistant
spa assistant;spa assistant
sheep breeder;sheep farmer
passenger ship steward;cruise steward
ship rigger;rigger
caulker;calfater
harbour master;harbour captain
referee;referee
wallpaperer;decorator
archive assistant;manager of company documents
special education coordinator;special education coordinator
director of special education;director of special education
beautician;beauty therapist
beauty salon assistant;spa assistant
hair removal specialist;waxing specialist
chimney sweep;chimney sweeper
columnist;columnist
employee drying barn;employee tobacco drying barn
leaf sorter;tobacco leaf sorter
binder of leaves;tobacco leaf binder
mover;moving assistant
policy officer;policy coordinator
surface grinder;metal grinder (machine sawing or cutting)
demolisher;demolition contractor
locksmith;key maker
manager corporate social responsibility;manager CSR
wastewater treatment plant manager;manager of a wastewater treatment plant
department manager;department manager
greaser;lubricator
blacksmith;artisan blacksmith
drop hammer operator;drop hammer operator
game development manager;game development manager
social counselor;sociotherapist
back office assistant;back office assistant
mental health counsellor;mental health counsellor
hard solderer;coppersmith
solderer;solderer
assembly technician battery systems;technical assistant battery assembly
sound designer;sound designer
prompter;announcer
digital printer;digital press operator
blind printer;printer (blind printing)
furniture finisher;furniture painter
door-to-door salesman;door-to-door salesman
livestock consultant;agricultural business consultant
statistician;statistical assistant
statistical assistant;statistical clerk
brick cutter;letter cutter
judicial notary;judicial notary public
steward/stewardess;ground stewardess
cabin assistant;air hostess
study advisor higher education;student dean
student support worker;higher education support worker
plasterer;ceiling installer
ICT disaster recovery analyst;ethical hacker
ict network administrator;network manager
dentist;paediatric dentist
real estate valuer;real estate appraiser
Property valuer;property valuer
funeral car driver;funeral car driver
taxi driver;taxi driver
cashier exchange office; money exchange clerk
tiler;tiler
telecommunications manager;telecommunications administrator
telephonist;telephone operator
carpet cutter;artisan carpet maker
carpet weaver;carpet maker
knitter;knitwear maker
milliner; milliner
doll maker;doll maker
doll designer;doll designer
astrologer;astrologer
soothsayer;card reader
medium;occultist
clairvoyant;mind reader
nature guide;park guide
zoo educator;zoo educator
Tourist office assistant;front-office assistant
gauger; controller of injection machines
supervision officer Metrology Act;inspector Verispect
metrologist;metro lodge
toolpusher;drilling supervisor
bus driver;bus driver
agricultural and forestry machinery driver
public speaking coach;public speaking coach
internal trainer;internal trainer
tram driver;tram driver
removal project manager;removal company manager
international transport coordinator;international transport coordinator
traffic manager tram;transport coordinator tram
bus traffic controller;bus traffic controller
freight transport dispatcher;road freight transport manager
removal coordinator;removal coordinator
logistics analyst;supply chain planner
financial manager;financial strategy manager
mid-office assistant;mid-office assistant
business risk manager;risk manager
medical dictaphone operator;medical dictaphone operator
typist;dactylographer
meat cutter;meat cutters
production manager;production manager
mine manager;mine manager
quarry manager;quarry manager
production manager mining;production engineer mining
film distributor;distributor
pipeline management manager;network management manager
head of purchasing raw materials for leather production;manager of purchasing raw materials for leather production
rail transport manager;railway company manager
general manager maritime transport;director maritime transport
ICT documentation manager;technical communication manager
clinical information systems manager;head of clinical ict
dean;dean of the faculty
manager aeronautical communications and frequencies coordination manager;manager aeronautical communications and frequencies coordination
manager of court operations;manager of court operations
rescue centre manager;rescue station manager
energy supply manager;energy procurement manager
legal services manager;head of legal services
clock and watchmaker;watchmaker
watch and clock repairer;clock repairer
pig farmer;piglet farmer
artificial insemination technician;artificial insemination technician
embryo transferor;embryo collector
surface miner;surface miner
cattle surgeon;equine surgeon
veterinary technician;veterinary assistant
paper cutter;paper cutting machine operator
ironing machine operator;coating machine operator
meter reader gas, water, electricity;gas meter reader
copilot;co-pilot
airline pilot;aircraft pilot
obstetrician;midwife
nursing assistant;nursing assistant
electronic and telecommunications equipment representative;commercial representative electronic and telecommunications equipment
commercial representative for electricity;commercial representative for electricity
commercial representative for renewable energy;sales representative for renewable energy
machinery and industrial equipment representative; commercial representative for machinery and industrial equipment
hardware, sanitary and heating equipment sales representative; hardware, sanitary and heating equipment sales representative
health and safety inspector in the transport sector;health and safety inspector in the transport sector
fish filleter;employee fish processing
aircraft assembly technician;aircraft assembly worker
aviation assembly supervisor;aviation assembly inspector
airport operations officer;airport operations manager
flight information officer;flight ops officer
dietician;lifestyle advisor
nutritionist-prepared meals;dietician-prepared meals
aircraft examiner;aircraft examiner
vehicle upholsterer;car upholsterer
industrial painter foreman;painting team leader
stock administrator;warehouse administrator
stock administrator raw materials store;stock coordinator raw materials store
official of an interest group;official of an employers' organisation
cardboard assembly worker;cardboard operator
curtain and carpet cleaner;carpet cleaner
ship's agent;ship's agent
road assistance worker;road warden
business engineer;technical engineer
production engineer;production engineer
process engineer;methods and processes engineer
Economist;Economist
Specialist biomedical scientist;Translational medicine specialist
Pharmacologist;pharmacologist
materials engineer;materials technology specialist
marine engineer;maritime engineer
aerospace engineer;aircraft construction engineer
animal nutritionist;feed expert
mathematician;university lecturer in mathematical logic
shop assistant;shop assistant
shelf stacker;assistant sales assistant
carpet fitter;carpet fitter
floor fitter resilient floor covering;floor fitter (flexible covering)
ship upholsterer;upholsterer ship interiors
pilates trainer;pilates instructor
screen printer;printer (screen printing)
specialist pharmacist;company pharmacist
hospital pharmacist;hospital pharmacist
zoological laboratory technician;zoological laboratory engineer
lifeguard;lifeguard
lifeguard;lifeguard at sea
swimming instructor;swimming teacher
agricultural consultant;agricultural and horticultural consultant
image technician;video technician
wallpaper team leader;wallpaper foreman
landscape inspector;park manager
social assistant;social service provider
medical records manager;head of central medical records
PACS application manager;radiology application manager
medical archive assistant;central medical archive assistant
tax adviser;tax consultant
tax administrative assistant;tax administrative assistant
Investment fund broker; fund salesperson
Investment company director;fund trader
investment advisor;investment consultant
Investment fund management assistant;investment fund specialist
investment manager;investment manager
investment relationship manager;investor relations manager
fund manager investment funds;portfolio manager
financial analyst;quantitative financial analyst
equity analyst;securities analyst
investment banker corporate clients;investment banker
investment analyst;rba
policy coordinator emancipation affairs;policy coordinator emancipation affairs
policy officer for agricultural affairs;policy officer for agriculture
policy officer for legal affairs;policy officer for justice
Immigration policy officer;immigration policy officer
policy officer economic affairs;policy officer economic affairs
strategic planning director;strategic planning director
policy officer for fiscal affairs;policy officer for fiscal affairs
policy officer for culture;policy officer for arts and culture
policy officer for waste management;waste manager
Environmental policy manager;environmental policy officer
environmental policy officer;environmental policy officer
environmental protection officer;environmental protection officer
Housing policy officer;housing policy officer
policy officer for foreign affairs;policy officer for foreign affairs
international relations officer;international relations officer
public health policy officer;health care policy officer
Mortgage administration officer;mortgage loan officer
pension officer;pension specialist
diesel engine mechanic;diesel engine repairer
event security officer;steward
parliamentary assistant;assistant to a member of parliament
database administrator;database manager
database integration specialist;data integrator
vehicle painter;train set painter
airport lighting engineer;airport lighting engineer
precision instruments inspector;precision instruments inspector
munitions assembler;munitions assembler
nitroglycerine neutralisation process operator;nitroglycerine production process operator
accountant;accounting management assistant
metal polisher;grinder-polisher
security consultant;security consultant fire safety/burglary prevention
interior designer;interior decorator
military operations analyst;command centre officer
biochemical engineer;biochemist
cosmetic chemist;R&D chemist
textile chemist;chemist-colorist
sensory analyst;sensory analyst
chemical tester;control technician metallurgy
aroma and fragrance chemist;formulator of recipes for aromas
gaming developer;gaming employee
gaming quality engineer;gambling, betting and lottery quality assurance engineer
biometrician;biometrics specialist
fisheries consultant;fisheries advisor
natural resources consultant;natural resources adviser
clothing engineer;clothing technologist
textile technologist;textile technology assistant
food packaging technologist;food and beverage packaging specialist
packaging production manager;packaging manager
industrial engineer for leather goods;technical engineer for leather goods
Surface treatment engineer;surface treatment process development engineer
Transport infrastructure engineer;chief engineer road works department
Airport planning engineer;airport planner
Environmental engineer mining;Environmental coordinator
Recycling engineer;recycling specialist
Waste treatment engineer;waste management engineer
ICT environment manager;ICT manager
Equipment engineer;Production engineer
rotating equipment engineer;turbomachinery engineer
Packaging engineer;packaging technology engineer
fluid mechanics engineer;engineer hydromechanics
design engineer vessels and tanks;design engineer pressure vessels
Agricultural engineer;agricultural equipment design engineer
mechatronic engineer;industrial mechatronics engineer
mine ventilation engineer;mine ventilation engineer
mine ventilation engineer;mechanical engineer
oenologist;wine expert
gas distribution engineer;natural gas distribution engineer
mining areas engineer;geodetic engineer
essayeur;metal products inspector
Scientific laboratory engineer;assistant in a research laboratory
engineer renewable energy;industrial engineer renewable energy
Energy engineer;energy engineer
Quality engineer;technical engineer quality control
Research engineer;research engineer
Airport engineer;industrial airport engineer
Installation engineer;installation engineer
design engineer;project and design engineer
researcher product development textile, leather and footwear;researcher product development textile, leather and footwear
commissioning engineer;commissioning engineer
engineer nanotechnology;nanophysicist
Occupational health and safety engineer;product engineer health and safety
Compliance engineer;compliance engineer
optical engineer;optics engineer
thermal energy engineer;industrial thermal energy engineer
Energy engineering engineer;energy transition engineer
Logistics Engineer;Logistics Engineer
Nuclear engineer;nuclear sciences engineer
Electromagnetic systems engineer;electromagnetism engineer
engineer energy production;engineer energy engineering
Energy distribution engineer;energy engineer
Electrotechnical engineer mining;electrotechnical mining engineer
satellite engineer;satellite technology engineer
optoelectronics engineer;optoelectronics engineer
language technologist;language and speech technologist
sensor technology engineer;sensor technology engineer
microsystems engineer;microsystems engineer
telecommunications analyst;telecom analyst
model maker;creator of lifelike figures
textile product developer;textile product engineer
textile colourist;textile dye colourist
gaming designer;gaming designer
stop-motion animator;stop-motion animator
3d animator;3d modeller
animated film layout artist;animated film layout artist
accounting analyst;accounting specialist
bookmaker;online bookmaker
it auditor;it systems quality auditor
ICT security engineer;it security expert
ict audit manager;IT audit manager
metal driller;drill operator
drill operator;CNC drill operator
column drill operator;column driller
second co-pilot;second officer
motorman;drill equipment maintenance engineer
university teaching assistant;practical assistant
practical social work lecturer;practical social work supervisor
university research assistant;research assistant
teacher of modern languages in higher education;teacher of modern languages in higher education
assistant lecturer;practical assistant
air traffic control instructor;air traffic control instructor
military instructor;instructor at the Royal Military Academy
cabin crew instructor;cabin crew instructor
secondary school IT teacher;secondary school IT teacher
secondary school teacher of literature;secondary school teacher of literature
teacher of gifted students;tutor of gifted students
teacher of digital literacy;teacher of digital literacy
private teacher;private tutor
Prison teacher;prison teacher
admissions coordinator;admissions coordinator
e-learning architect;designer eLearning products
e-learning developer;designer of e-learning products
human rights officer;human rights lawyer
trustee;liquidator
venture capital investor;venture capitalist
trust administrator;personal trust manager
door fitter;door carpenter
competition policy officer;competition policy officer
intelligence officer;intelligence officer
healthcare consultant;health information and education consultant
political affairs officer;political adviser
trade officer;trade relations development officer
political campaign assistant;election campaign assistant
Intercultural communication consultant;diversity trainer
campaigner;activist
political party assistant;political party assistant
mining and construction machinery representative;trade representative for mining and construction machinery
textile machinery industry representative;trade representative textile machinery industry
office machinery and equipment representative; sales representative for office machinery and equipment
heat sealer operator;sealing machine operator
enterprise architect;enterprise architecture manager
ict intelligent systems designer;AI designer
trolleybus driver;trolleybus driver
hotel butler;hotel service employee
stand-up comedian;cabaret performer
cashier;assistant cashier
election observer;election observer
social worker;social assistant
homeless worker;homeless worker
family planning consultant;family planning consultant
home help assistant;home help
sexual violence counsellor;sexual abuse counsellor
shipbroker;shipbroker seagoing ships
shipbroker tanker shipping;vessel operations coordinator
bodywork and vehicle builder;truck body builder
classic car mechanic;restorer classic cars
bodywork mechanic;chassis builder construction cars, vehicles
mask builder;mask builder
audio describer;audio describer
street artist;graffiti maker
cadastre surveyor;surveyor (land surveying)
rubbish truck driver;rubbish truck driver
poissonnier;fish cook
rotisseur;grill cook
chiropractor;physiotherapist-cracker
animal chiropractor;animal therapist
specialised chiropractor;paediatric chiropractor
choreographer;choreographer
choreologist;choreologist
artistic coach;dance teacher
circus artist;swordsmith
pyrotechnic designer;pyrotechnic designer
Pyrotechnician;theatre pyrotechnician
threading machine operator;operator threading machine
lathe operator;operator CNC lathe
conductor;conductress
caretaker;caretaker
caretaker;caretaker
chief conductor;chief railway conductor
train conductor;conductor-controller train
ticket inspector;ticket inspector
collection manager;conservation officer (museum)
curator;museum curator
exhibition maker;curator
museologist;museum assistant
flight test engineer;flight test engineer
aerodynamics engineer;aerodynamic engineer
lathe operator;metal turner
fire-fighting instructor;fire-fighting instructor
drama teacher in secondary education;drama teacher in secondary education
dance teacher in higher education;dance lecturer
teacher of design and applied arts in vocational education;teacher of design and applied arts in vocational education
teacher of journalism in higher education;teacher of journalism in higher education
marine instructor;maritime technology instructor
boiler maker;metal boiler maker
metal boiler maker;metal boiler maker
leather craftsman;operator of machinery for the manufacture of leather goods
handicraft leatherworker;handicraft leatherworker
glove maker;glove maker
leather goods processor;leather goods processor
leather goods machine operator;industrial stitcher
machine operator leather goods;machine operator leather goods
maintenance technician leather goods production machinery;maintenance technician leather goods production machinery
leather goods production manager;head of leather goods production
coffee taster;coffee tester
food classifier;food quality controller
hide classifier;hide sorter
cigar inspector;cigar inspector
production controller;production inspector
shoe stitcher;shoe stitcher
shoe repairer;cobbler
electrician rolling stock;electrician rolling stock
train electronics technician;railway electronics technician
Social services consultant;social services consultant
nuclear technician;nuclear control technician
chromatography technician;ion chromatography technician
environmental technician;environmental care and remediation assistant
geologist technician;geophysical technician
corrosion technician;surface treatment technician
fire safety tester;fire protection tester
electromechanics technician;electromechanical maintenance technician
hydropower technician;wave energy technician
microsystems technician;MEMS engineer
electronics technician;electronics control technician
sensors technician;sensors technician
optoelectronics engineer;optoelectronic equipment maintenance engineer
Technical engineer ships;shipbuilding engineer
Technical engineer pneumatics;technician pneumatics
Technical engineer for motor vehicles;technical engineer for motor vehicles
combustion engine motor vehicle inspector;combustion engine technician
aircraft engine tester;aircraft engine maintenance engineer
technical optomechanics engineer;optical engineer
marine engine inspector;combustion engine technician
mechatronics engineer;mechatronics technician
mining surveyor technician;mining surveyor technician
mining safety inspector;mining engineer
product development engineer;technical product developer
robotics technician;robotics industry engineer
pipeline compliance coordinator;safety inspector
tank assembly supervisor;tank assembly technician
machine operation manager;machine operator
foreman dismantling works;foreman dismantling works
water recovery supervisor;water distribution and remediation team leader
glaziers team leader;glazier
wine-growing consultant;wine-growing expert
private pilot;pilot charter flights
astronaut;pilot spacecraft
mechanic aviation safety systems;technician aviation safety systems
quality controller metal products;controller metal products
footwear assembly supervisor;controller footwear
quality controller footwear;controller footwear
quality controller leather goods;controller leather goods
laboratory technician shoe quality control;quality controller footwear
quality technician footwear;quality controller footwear
laboratory technician leather goods quality control;laboratory specialist leather goods quality control
leather goods quality technician;quality technician
alternative animal therapist;veterinary naturopathic therapist
animal massage therapist;animal masseur
animal hydrotherapist;animal hydrotherapist
vehicle assembly controller;vehicle assembly quality controller
quality engineer;quality control technician
financial risk manager;credit and risk analyst
mergers and acquisitions analyst;M&A specialist
audit supervisor;audit inspector
budget analyst;fiscal control assistant
cost analyst;cost accountant
dividend analyst;dividend analyst
translator;typesetter
currency trader;currency trader
energy trader;renewable energy trader
currency broker;foreign exchange broker
student loan advisor;student loan advisory coordinator
insurance fraud coordinator;insurance fraud analyst
real estate investor;real estate investor
coordinator youth work;youth work manager
secondary education coordinator;secondary education team leader
adult education director;adult education centre director
social worker;social worker
copywriter;advertising copywriter
editor of court minutes;proofreader of court minutes
proofreader
foreign language correspondent;foreign language correspondent
creative therapist;occupational therapist
Animal assisted therapy therapist;TAD therapist
art therapist;creative therapist
dance therapist;dance and movement therapist
music therapist;occupational therapist
croupier;dealer
bingo player;bingo game player
hairdresser;barber
hair stylist;top hairdresser
stage hairdresser;make-up artist
data communication manager aviation;data communication manager in aviation
meat preparation operator;meat processing operator
decoration painter;decorator on art objects and craft objects
decoration painter wood;furniture painter
set designer;stand constructor
set painter;decor painter
flexo printer;flexo printing operator
stone crusher driver;crushing mill operator
quarry worker;quarry worker
promotion worker;promotion worker
textile designer;textile designer
diet cook;diet cook
rotogravure printer;rotogravure printer
general veterinarian;general veterinary
equine dentist;equine surgeon
aquatic animal health officer;aquaculture animal veterinarian
official veterinarian;NVWA veterinarian
veterinary nurse;veterinary nurse
veterinary assistant;veterinary receptionist
kennel officer;animal pension officer
kennel employee;employee pet boarding house
zookeeper;puppy course supervisor
zookeeper zoo;zoo supervisor
assistant dietician;assistant dietician
consul;honorary consul
diplomat;diplomatic representative
ambassador;ambassadoress
executive assistant;executive secretary
choir conductor;choir director
music director;musical director
disc jockey;DJ
geography teacher in secondary education;geography teacher in secondary education
adult education teacher;teacher centre for adult education
literacy teacher;NT2 teacher
fine arts teacher;fine arts teacher
visual arts teacher in higher education;lecturer in liberal arts
secondary school biology teacher;secondary school biology teacher
vocational food teacher in vocational education;vocational cooking teacher in vocational education
history teacher in secondary education;history teacher in secondary education
teacher of religion secondary education;teacher of religion secondary education
hairdressing teacher in vocational education;hairdressing teacher in vocational education
classical languages teacher in higher education;lecturer in Latin and Greek
physical education teacher in secondary education;physical education teacher in secondary education
secondary school physics teacher;secondary school physics teacher
language school teacher;language trainer
police instructor;police trainer
chemistry teacher in secondary education;chemistry teacher in secondary education
chief marine engineer;chief fishery engineer
vocational teacher of industrial design;vocational teacher of product design
specialised travel and tourism teacher in vocational education;travel and tourism teacher in vocational education
secondary school mathematics teacher;secondary school mathematics teacher
surface treatment specialist;anti-corrosion painter
metal dipper;hot-dip galvaniser
customs officer;customs officer
luggage inspector;hand luggage inspector
dramaturge;dramaturge
driller onshore and offshore;drilling worker
pressure shaper;guillocheter
screen printer;stencil maker screen printing
reprography technician;operator reprography
odds compiler;odds calculator
racetrack employee;totalisator employee
pawnbroker;pawnbroker
economic adviser;financial analyst
economic development coordinator;economic development coordinator
chain production operator;chain smith
filigree maker;filigree cleaner
jewellery cleaning specialist;jewellery cleaning specialist
auditor;internal auditor
raw materials reception employee;goods intake employee
pipeline transport manager;pipeline transport manager
aircraft dispatcher;aircraft dispatcher
public transport maintenance coordinator;bus maintenance coordinator
gas distribution planner;energy production plant operator
baggage flow supervisor;hold baggage supervisor
cultural visitor services manager;public information and education officer
prepress technician;prepress technician
scan operator;scanner (graphic)
interviewer;interviewer
puppeteer;ventriloquist
variety performer;variety artist
animator;camping animator
entertainment manager;head of entertainment
ergonomist;ergonomics consultant
occupational therapist;rehabilitation physiotherapist
occupational therapy assistant;occupational therapy assistant
groupage forwarder;freight forwarder
freight forwarder;shipping agent
shipping clerk;shipping clerk
building management and installations manager;head of facilities department
production facility manager;plant manager
invoice clerk; invoice clerk
projectionist;operator film projector
fitness instructor;zumba instructor
fitness assistant;recreation centre assistant
personal trainer;personal coach
photographer;sport photographer
film developer;film lab operator
photo lab assistant;photo lab assistant
artistic model;painting model
model;plus-size model
bicycle builder;bicycle construction worker
vineyard supervisor;vineyard manager
vineyard manager;winemaker
winemaker;cellar master
labour analyst;labour expert
physiotherapist;general physiotherapist
physiotherapy assistant;physio assistant
anodiser;galvaniser
coating machine operator;galvaniser
galvaniser;electrolytic chromium plater
enamellist;enameller
gas production engineer;petroleum engineer
bailiff;bailiff
ceramic painter;painter (earthenware)
glass painter;glazier
porcelain painter;porcelain painter
operator pulled glass;operator pulling machine glass
operator glass forming machine;operator glass blowing machine
glass worker;operator glass edge grinder
operator annealing furnace;operator annealing furnace
glass blower; hot glass worker
glass fitter; glazier
glazier;glass cutter
glass artist; glazier
animal welfare inspector;animal protection inspector
graphologist;copywriter
hairstylist and make-up designer;hairstylist and make-up designer
make-up artist;special effects make-up artist
rental employee of other machinery, equipment and movable property;rental employee of other machinery, equipment and movable property
rental assistant of household and personal goods;rental assistant of household and personal goods
rental assistant;rental department assistant
rental employee water transport equipment;rental employee maritime transport equipment
office equipment rental assistant;office equipment rental assistant
rental employee air transport equipment;rental employee air transport equipment
rental employee building materials and civil engineering equipment;rental employee building materials and civil engineering equipment
truck rental assistant;truck rental assistant
Sport and recreation equipment rental employee;sport and recreation equipment rental employee
agricultural machinery and equipment rental worker;agricultural machinery and equipment rental worker
ground steward;ground steward
wigmaker;hairpiece and wig specialist
forklift driver;forklift driver
school bus attendant;school bus attendant
helicopter pilot;helicopter pilot
Stretcher; ambulance worker
farrier;farrier
stockbroker in commodities;trader in commodities
homeopath;homeopathic therapist
acoustical engineer;building acoustics specialist
distribution manager;chief of distribution
research manager;research and advice manager
mine rescue worker;mine rescuer
traffic warden;crossing supervisor
data entry supervisor;typists in charge
office manager;office director
ambulance driver;driver of emergency vehicles
ambulance nurse;ambulance nurse
fundraiser;fundraiser
administrative assistant grant applications;grant officer
pharmacist;pharmacist
quality controller pharmaceutical industry;pharmacovigilance specialist
pharmacist pharmaceutical industry;pharmacist assistant pharmaceutical industry
pharmacist assistant;pharmaceutical technical assistant
pharmacy assistant;general pharmacy support assistant
occupational hygienist;operational safety coordinator
actor/actress;actress
botanical curator;hortulanus
wood technologist;industrial engineer wood technology
engineering assistant;administrative assistant to an engineer
hotel concierge;hotel concierge
assistant car mechanic;assistant in a garage
hydrographer;hydrographer
hydrographic technician;assistant land surveyor hydrography
metrology technician;industrial measuring and control technician
illustrator;illustrator
storyboard artist;storyboarder
cartoonist;caricature artist
health engineering engineer;biomedical engineer
bio-engineer;bio-engineer
costume buyer;costume buyer
green coffee buyer;coffee buyer
ICT buyer;ICT procurement manager
textile buyer;textile merchandiser
scenery buyer;scenery renter
footwear packer;footwear packer
leather goods packer;leather goods packer
hand packer;packaging assistant
financial auditor;accounting inspector
fisheries inspector;sea fisheries inspector
forestry inspector;BOA Forestry Commission
industrial cook;catering assistant cook
first aid instructor;first aid teacher
first aid worker;primary care worker
political journalist;parliamentary journalist
sports journalist;sports reporter
economic journalist;socio-economic journalist
crime journalist;crime reporter
Entertainment journalist;entertainment journalist
Consumer law adviser;legal officer European Consumer Centre
immigration officer;immigration officer
immigration adviser;IND employee
company lawyer;company lawyer
Ombudsman;children's ombudsman
legislative lawyer;legislative lawyer
gemologist;gemstone valuer
jeweller;jewellery maker
administrative assistant;office assistant
office clerk;administrative assistant
office machinery mechanic;office machinery service technician
corrugator operator;corrugated board operator
corrugated board operator;paper production process operator
paper bag production assistant;paper bag production assistant
ticket seller;ticket seller cinema
barista;catering assistant
dog breeder;dog breeder
knowledge engineer;semantic technologies engineer
ceramist;ceramist
potter;ceramic model maker
kitchen assistant;sous-chef
battery testing technician;battery testing technician
electric appliance inspector;electric appliance quality control assistant
electronic devices controller;electronic devices quality department assistant
food safety specialist;food operator
food regulation expert;food technology expert
wastewater treatment operator; sewage treatment plant operator
wastewater treatment technician;water purification operator
operating technician water treatment systems;waste water treatment plant manager
desalination plant technician;desalination plant operator
operating technician liquid waste treatment plants;operator liquid waste treatment plants
solid waste plant operating technician;solid waste plant operator
waterworks technician;drinking water operation technician
special education teaching assistant;special education teaching assistant
dresser;dressmaker
costume master;costume assistant
market research interviewer;market research interviewer
coppersmith;ornamental blacksmith
sexton;church warden
credit consultant;credit analyst
credit analyst;credit adviser
manager credits;drafter bank credits
credit and risk analyst;credit risk analyst
cooper;barrel maker
gallery manager;gallery owner
painter;portrait painter
lighthouse keeper;coast guard
air freight logistics coordinator;air freight coordinator
rail freight logistics coordinator;rail freight logistics coordinator
agricultural machinery mechanic;agricultural machinery technician
agricultural machinery technician;agricultural machinery mechanic
forestry mechanic;mechanic
industrial climber;high-altitude technician
photonics technician;laser technologist
photonics engineer;lighting engineer
welding inspector;glue welder
climbing rigger;high rigger
ground rigger;ground rigger
briquetting press operator;metal chip briquetting press operator
operator laser marking machine;operator laser engraving machine
operator heat treatment furnace;operator heat treatment furnace
operator metal planing bench;operator metal planer
metal shredder operator;metal shredder operator
mining machinery mechanic;mining equipment mechanic
electrical equipment mechanic for buildings;electrical equipment maintenance mechanic (buildings)
electric systems mechanic for commercial buildings;electricians for commercial buildings
toy maker;doll maker
artisanal papermaker;craft papermaker
sports equipment repairer;sports equipment repairer
candle maker;candle caster
lift mechanic;lift service technician
flight instructor;airline pilot instructor
language and literature researcher;literary scholar
logistics manager;supply chain coordinator
distribution manager agricultural machinery and equipment;supply chain planner agricultural machinery and equipment
distribution manager household appliances;supply chain manager household appliances
distribution manager electronic and telecommunications equipment and related parts;supply chain manager electronic and telecommunications equipment and related parts
fish and shellfish distribution manager;manager of fish and shellfish distribution logistics
distribution manager flowers and plants;supply chain manager flowers and plants
fruit and vegetable distribution manager;head of fruit and vegetable distribution
furniture, carpets and lighting distribution manager;head of furniture, carpets and lighting distribution
hardware, plumbing and heating products distribution manager;hardware, plumbing and heating products flow manager
distribution manager hides, skins and leather goods;supply chain planner hides, skins and leather goods
distribution manager household goods;logistics planner consumer goods
distribution manager live animals;manager distribution live animals
distribution manager agricultural commodities, seeds and animal feed;logistic planner agricultural commodities, seeds and animal feed
distribution manager machines, industrial equipment, ships and aircraft;supply chain manager machines, industrial equipment, ships and aircraft
distribution manager meat and meat products;logistic planner meat and meat products
metal and metal ores distribution manager;metal and metal ores distribution manager
mining, construction and civil engineering machinery distribution manager;mining, construction and civil engineering machinery logistics manager
cosmetics and perfumes distribution manager;cosmetics and perfumes logistics planner
pharmaceutical products distribution manager;pharmaceutical products logistics planner
sugar, chocolate and confectionery distribution manager;head of sugar, chocolate and confectionery distribution
textile industry machinery distribution manager;textile industry machinery distribution manager
distribution manager for textiles, textile raw materials and semi-finished products;head of distribution for textiles, textile raw materials and semi-finished products
tobacco products distribution manager;tobacco products distribution manager
beverage retail distribution manager;beverage retail logistics planner
distribution manager recyclables;distribution manager waste and scrap metal
distribution manager watches and jewellery;goods flow manager watches and jewellery
wood and building materials distribution manager;head of wood and building materials distribution
chemical products distribution manager; distribution logistics manager chemical products
china and glassware distribution manager;head of china and glassware distribution
footwear and clothing distribution manager;footwear and clothing distribution manager
coffee, tea, cocoa and spices distribution manager;head of coffee, tea, cocoa and spices distribution
distribution manager computers, peripherals and software;manager goods flow computers, peripherals and software
distribution manager dairy products and edible oils;logistics manager dairy products and edible oils
speech therapist;speech therapist
ventilation technician;lung function analyst
pilot service coordinator;rescue service coordinator
airport director;airport cargo manager
amusement park maintenance engineer;attractions technician
power tool repairer;power tool repairer
air traffic controller;ATC
air traffic manager;air traffic controller
women's tailor;children's tailor
men's tailor;tailor maker
bespoke shoe maker;bespoke shoe maker
production assistant lasts;last shoemaker
wood drilling machine operator;wood drilling machine operator
furniture woodworking machine operator;furniture machine operator
wood sander;planer
band saw operator;band saw operator
thicknessing machine operator;woodworking machine thicknesser
table saw machine operator;table saw machine operator
router operator;router operator
trimming saw operator;trimming saw operator
sheet material operator;sheet material press operator
sawmill operator;wood CNC machine operator
oilseed presser;oilseed crusher
oil mill operator;oil mill operator
