tail;head;relation
Hairdressers, Hairstylists, and Cosmetologists;pedicurist;broadMatch
Hairdressers, Hairstylists, and Cosmetologists;hair removal technician;broadMatch
Hairdressers, Hairstylists, and Cosmetologists;manicurist;broadMatch
Hairdressers, Hairstylists, and Cosmetologists;aesthetician;broadMatch
Hairdressers, Hairstylists, and Cosmetologists;performance hairdresser;broadMatch
Makeup Artists, Theatrical and Performance;make-up artist;exactMatch
Makeup Artists, Theatrical and Performance;make-up and hair designer;narrowMatch
Manicurists and Pedicurists;aesthetician;narrowMatch
Manicurists and Pedicurists;manicurist;broadMatch
Manicurists and Pedicurists;pedicurist;broadMatch
Shampooers;hairdresser;narrowMatch
Shampooers;barber;narrowMatch
Shampooers;hairdresser assistant;exactMatch
Skincare Specialists;hair removal technician;broadMatch
Skincare Specialists;aesthetician;exactMatch
Baggage Porters and Bellhops;hotel porter;broadMatch
Baggage Porters and Bellhops;airport baggage handler;broadMatch
Concierges;hotel concierge;broadMatch
Tour Guides and Escorts;tourist guide;exactMatch
Tour Guides and Escorts;mountain guide;broadMatch
Tour Guides and Escorts;park guide;broadMatch
Tour Guides and Escorts;zoo educator;broadMatch
Travel Guides;tour organiser;broadMatch
Childcare Workers;child care coordinator;narrowMatch
Childcare Workers;child care worker;exactMatch
Nannies;nanny;exactMatch
Exercise Trainers and Group Fitness Instructors;sports instructor;exactMatch
Exercise Trainers and Group Fitness Instructors;fitness instructor;broadMatch
Exercise Trainers and Group Fitness Instructors;personal trainer;broadMatch
Exercise Trainers and Group Fitness Instructors;pilates teacher;broadMatch
Exercise Trainers and Group Fitness Instructors;boxing instructor;broadMatch
Exercise Trainers and Group Fitness Instructors;shiatsu practitioner;broadMatch
Recreation Workers;outdoor animator;exactMatch
Recreation Workers;activity leader;broadMatch
Recreation Workers;tourist animator;broadMatch
Recreation Workers;specialised outdoor animator;broadMatch
Recreation Workers;assistant outdoor animator;broadMatch
Residential Advisors;housing manager;narrowMatch
First-Line Supervisors of Retail Sales Workers;clothing shop manager;exactMatch
First-Line Supervisors of Retail Sales Workers;textile shop manager;exactMatch
First-Line Supervisors of Retail Sales Workers;shop manager;narrowMatch
First-Line Supervisors of Retail Sales Workers;shop supervisor;narrowMatch
First-Line Supervisors of Retail Sales Workers;sporting and outdoor accessories shop manager;broadMatch
First-Line Supervisors of Retail Sales Workers;second-hand shop manager;broadMatch
First-Line Supervisors of Retail Sales Workers;ammunition shop manager;broadMatch
First-Line Supervisors of Retail Sales Workers;antique shop manager;broadMatch
First-Line Supervisors of Retail Sales Workers;beverages shop manager;broadMatch
First-Line Supervisors of Retail Sales Workers;building materials shop manager;broadMatch
First-Line Supervisors of Retail Sales Workers;computer shop manager;broadMatch
First-Line Supervisors of Retail Sales Workers;computer software and multimedia shop manager;broadMatch
First-Line Supervisors of Retail Sales Workers;confectionery shop manager;broadMatch
First-Line Supervisors of Retail Sales Workers;cosmetics and perfume shop manager;broadMatch
First-Line Supervisors of Retail Sales Workers;craft shop manager;broadMatch
First-Line Supervisors of Retail Sales Workers;delicatessen shop manager;broadMatch
First-Line Supervisors of Retail Sales Workers;department store manager;broadMatch
First-Line Supervisors of Retail Sales Workers;domestic appliances shop manager;broadMatch
First-Line Supervisors of Retail Sales Workers;drugstore manager;broadMatch
First-Line Supervisors of Retail Sales Workers;fish and seafood shop manager;broadMatch
First-Line Supervisors of Retail Sales Workers;floor and wall coverings shop manager;broadMatch
First-Line Supervisors of Retail Sales Workers;fruit and vegetables shop manager;broadMatch
First-Line Supervisors of Retail Sales Workers;fuel station manager;broadMatch
First-Line Supervisors of Retail Sales Workers;furniture shop manager;broadMatch
First-Line Supervisors of Retail Sales Workers;hardware and paint shop manager;broadMatch
First-Line Supervisors of Retail Sales Workers;jewellery and watches shop manager;broadMatch
First-Line Supervisors of Retail Sales Workers;kitchen and bathroom shop manager;broadMatch
First-Line Supervisors of Retail Sales Workers;meat and meat products shop manager;broadMatch
First-Line Supervisors of Retail Sales Workers;medical goods shop manager;broadMatch
First-Line Supervisors of Retail Sales Workers;motor vehicle shop manager;broadMatch
First-Line Supervisors of Retail Sales Workers;music and video shop manager;broadMatch
First-Line Supervisors of Retail Sales Workers;orthopaedic supply shop manager;broadMatch
First-Line Supervisors of Retail Sales Workers;pet and pet food shop manager;broadMatch
First-Line Supervisors of Retail Sales Workers;photography shop manager;broadMatch
First-Line Supervisors of Retail Sales Workers;retail department manager;broadMatch
First-Line Supervisors of Retail Sales Workers;telecommunication equipment shop manager;broadMatch
First-Line Supervisors of Retail Sales Workers;tobacco shop manager;broadMatch
First-Line Supervisors of Retail Sales Workers;toys and games shop manager;broadMatch
First-Line Supervisors of Non-Retail Sales Workers;shop supervisor;narrowMatch
First-Line Supervisors of Non-Retail Sales Workers;second-hand shop manager;broadMatch
First-Line Supervisors of Non-Retail Sales Workers;press and stationery shop manager;broadMatch
First-Line Supervisors of Non-Retail Sales Workers;supermarket manager;broadMatch
First-Line Supervisors of Non-Retail Sales Workers;sporting and outdoor accessories shop manager;broadMatch
First-Line Supervisors of Non-Retail Sales Workers;bookshop manager;broadMatch
First-Line Supervisors of Non-Retail Sales Workers;shoe and leather accessories shop manager;broadMatch
Cashiers;cashier;exactMatch
Cashiers;casino cashier;broadMatch
Cashiers;lottery cashier;broadMatch
Cashiers;foreign exchange cashier;broadMatch
Gambling Change Persons and Booth Cashiers;casino cashier;broadMatch
Gambling Change Persons and Booth Cashiers;lottery cashier;broadMatch
Counter and Rental Clerks;rental service representative;exactMatch
Counter and Rental Clerks;rental service representative in recreational and sports goods;broadMatch
Counter and Rental Clerks;rental service representative in video tapes and disks;broadMatch
Counter and Rental Clerks;rental service representative in trucks;broadMatch
Counter and Rental Clerks;rental service representative in construction and civil engineering machinery;broadMatch
Counter and Rental Clerks;rental service representative in personal and household goods;broadMatch
Counter and Rental Clerks;rental service representative in agricultural machinery and equipment;broadMatch
Counter and Rental Clerks;rental service representative in office machinery and equipment;broadMatch
Counter and Rental Clerks;rental service representative in other machinery, equipment and tangible goods;broadMatch
Counter and Rental Clerks;rental service representative in water transport equipment;broadMatch
Counter and Rental Clerks;rental service representative in air transport equipment;broadMatch
Counter and Rental Clerks;vehicle rental agent;broadMatch
Parts Salespersons;sales assistant;narrowMatch
Parts Salespersons;motor vehicles parts advisor;broadMatch
Retail Salespersons;furniture specialised seller;broadMatch
Retail Salespersons;hardware and paint specialised seller;broadMatch
Retail Salespersons;toys and games specialised seller;broadMatch
Retail Salespersons;floor and wall coverings specialised seller;broadMatch
Retail Salespersons;second-hand goods specialised seller;broadMatch
Retail Salespersons;building materials specialised seller;broadMatch
Retail Salespersons;music and video shop specialised seller;broadMatch
Retail Salespersons;domestic appliances specialised seller;broadMatch
Retail Salespersons;specialised seller;exactMatch
Retail Salespersons;ammunition specialised seller;broadMatch
Retail Salespersons;audio and video equipment specialised seller;broadMatch
Retail Salespersons;beverages specialised seller;broadMatch
Retail Salespersons;bookshop specialised seller;broadMatch
Retail Salespersons;clothing specialised seller;broadMatch
Retail Salespersons;computer and accessories specialised seller;broadMatch
Retail Salespersons;computer games, multimedia and software specialised seller;broadMatch
Retail Salespersons;confectionery specialised seller;broadMatch
Retail Salespersons;cosmetics and perfume specialised seller;broadMatch
Retail Salespersons;delicatessen specialised seller;broadMatch
Retail Salespersons;fish and seafood specialised seller;broadMatch
Retail Salespersons;fruit and vegetables specialised seller;broadMatch
Retail Salespersons;jewellery and watches specialised seller;broadMatch
Retail Salespersons;orthopaedic supplies specialised seller;broadMatch
Retail Salespersons;pet and pet food specialised seller;broadMatch
Retail Salespersons;press and stationery specialised seller;broadMatch
Retail Salespersons;shoe and leather accessories specialised seller;broadMatch
Retail Salespersons;shop assistant;broadMatch
Retail Salespersons;specialised antique dealer;broadMatch
Retail Salespersons;sporting accessories specialised seller;broadMatch
Retail Salespersons;telecommunications equipment specialised seller;broadMatch
Retail Salespersons;textile specialised seller;broadMatch
Retail Salespersons;tobacco specialised seller;broadMatch
Advertising Sales Agents;advertising sales agent;exactMatch
Insurance Sales Agents;insurance broker;exactMatch
Securities, Commodities, and Financial Services Sales Agents;securities trader;broadMatch
Securities, Commodities, and Financial Services Sales Agents;commodity trader;broadMatch
Securities, Commodities, and Financial Services Sales Agents;energy trader;broadMatch
Securities, Commodities, and Financial Services Sales Agents;foreign exchange trader;broadMatch
Securities, Commodities, and Financial Services Sales Agents;futures trader;broadMatch
Securities, Commodities, and Financial Services Sales Agents;stock trader;broadMatch
Travel Agents;ticket sales agent;broadMatch
Travel Agents;travel agent;exactMatch
Travel Agents;tourism contract negotiator;broadMatch
Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel;commercial sales representative;narrowMatch
Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel;electricity sales representative;broadMatch
Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel;renewable energy sales representative;broadMatch
Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel;client relations manager;narrowMatch
Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products;technical sales representative in chemical products;broadMatch
Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products;technical sales representative in hardware, plumbing and heating equipment;broadMatch
Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products;technical sales representative in machinery and industrial equipment;broadMatch
Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products;technical sales representative;exactMatch
Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products;technical sales representative in office machinery and equipment;broadMatch
Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products;technical sales representative in electronic and telecommunications equipment;broadMatch
Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products;technical sales representative in the textile machinery industry;broadMatch
Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products;technical sales representative in mining and construction machinery;broadMatch
Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products;technical sales representative in agricultural machinery and equipment;broadMatch
Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products;client relations manager;narrowMatch
Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products;ICT account manager;broadMatch
Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products;medical sales representative;broadMatch
Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products;wholesale merchant in agricultural machinery and equipment;broadMatch
Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products;wholesale merchant in chemical products;broadMatch
Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products;wholesale merchant in electrical household appliances;broadMatch
Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products;wholesale merchant in electronic and telecommunications equipment and parts;broadMatch
Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products;wholesale merchant in hardware, plumbing and heating equipment and supplies;broadMatch
Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products;wholesale merchant in machinery, industrial equipment, ships and aircraft;broadMatch
Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products;wholesale merchant in metals and metal ores;broadMatch
Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products;wholesale merchant in mining, construction and civil engineering machinery;broadMatch
Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products;wholesale merchant in pharmaceutical goods;broadMatch
Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products;wholesale merchant in textile industry machinery;broadMatch
Solar Sales Representatives and Assessors;renewable energy sales representative;narrowMatch
Solar Sales Representatives and Assessors;solar energy sales consultant;exactMatch
Solar Sales Representatives and Assessors;renewable energy consultant;narrowMatch
Solar Sales Representatives and Assessors;energy consultant;narrowMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;commercial sales representative;narrowMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;technical sales representative in the textile machinery industry;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;technical sales representative in mining and construction machinery;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;technical sales representative in agricultural machinery and equipment;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;technical sales representative in chemical products;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;technical sales representative in machinery and industrial equipment;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;technical sales representative in office machinery and equipment;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;technical sales representative;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;wholesale merchant in machine tools;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;technical sales representative in electronic and telecommunications equipment;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;client relations manager;narrowMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;wholesale merchant;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;wholesale merchant in agricultural raw materials, seeds and animal feeds;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;wholesale merchant in beverages;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;wholesale merchant in china and other glassware;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;wholesale merchant in clothing and footwear;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;wholesale merchant in coffee, tea, cocoa and spices;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;wholesale merchant in dairy products and edible oils;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;wholesale merchant in fish, crustaceans and molluscs;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;wholesale merchant in flowers and plants;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;wholesale merchant in fruit and vegetables;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;wholesale merchant in furniture, carpets and lighting equipment;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;wholesale merchant in hides, skins and leather products;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;wholesale merchant in household goods;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;wholesale merchant in live animals;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;wholesale merchant in meat and meat products;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;wholesale merchant in office furniture;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;wholesale merchant in office machinery and equipment;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;wholesale merchant in perfume and cosmetics;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;wholesale merchant in sugar, chocolate and sugar confectionery;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;wholesale merchant in textiles and textile semi-finished and raw materials;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;wholesale merchant in tobacco products;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;wholesale merchant in waste and scrap;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;wholesale merchant in watches and jewellery;broadMatch
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;wholesale merchant in wood and construction materials;broadMatch
Demonstrators and Product Promoters;promotions demonstrator;exactMatch
Models;fashion model;broadMatch
Models;art model;broadMatch
Real Estate Brokers;real estate leasing manager;broadMatch
Real Estate Brokers;property acquisitions manager;exactMatch
Real Estate Sales Agents;letting agent;broadMatch
Real Estate Sales Agents;real estate agent;exactMatch
Sales Engineers;sales engineer;exactMatch
Sales Engineers;technical sales representative in office machinery and equipment;broadMatch
Sales Engineers;technical sales representative in chemical products;broadMatch
Sales Engineers;technical sales representative in hardware, plumbing and heating equipment;broadMatch
Sales Engineers;technical sales representative in the textile machinery industry;broadMatch
Sales Engineers;technical sales representative in agricultural machinery and equipment;broadMatch
Sales Engineers;technical sales representative in machinery and industrial equipment;broadMatch
Sales Engineers;technical sales representative in mining and construction machinery;broadMatch
Sales Engineers;technical sales representative in electronic and telecommunications equipment;broadMatch
Telemarketers;call centre agent;exactMatch
Door-to-Door Sales Workers, News and Street Vendors, and Related Workers;door to door seller;broadMatch
Door-to-Door Sales Workers, News and Street Vendors, and Related Workers;hawker;broadMatch
Door-to-Door Sales Workers, News and Street Vendors, and Related Workers;street food vendor;broadMatch
Door-to-Door Sales Workers, News and Street Vendors, and Related Workers;leaflet distributor;broadMatch
Door-to-Door Sales Workers, News and Street Vendors, and Related Workers;market vendor;broadMatch
Sales and Related Workers, All Other;car leasing agent;broadMatch
First-Line Supervisors of Office and Administrative Support Workers;office manager;exactMatch
First-Line Supervisors of Office and Administrative Support Workers;call centre supervisor;broadMatch
First-Line Supervisors of Office and Administrative Support Workers;contact centre supervisor;broadMatch
First-Line Supervisors of Office and Administrative Support Workers;call centre analyst;broadMatch
Switchboard Operators, Including Answering Service;telephone switchboard operator;exactMatch
Switchboard Operators, Including Answering Service;emergency medical dispatcher;broadMatch
Switchboard Operators, Including Answering Service;call centre agent;broadMatch
Switchboard Operators, Including Answering Service;rail switchperson;broadMatch
Telephone Operators;telephone switchboard operator;broadMatch
Telephone Operators;call centre agent;broadMatch
Telephone Operators;emergency medical dispatcher;broadMatch
Telephone Operators;customer contact centre information clerk;broadMatch
Telephone Operators;crisis helpline operator;broadMatch
Bill and Account Collectors;debt collector;exactMatch
Billing and Posting Clerks;billing clerk;exactMatch
Bookkeeping, Accounting, and Auditing Clerks;accounting assistant;broadMatch
Bookkeeping, Accounting, and Auditing Clerks;bookkeeper;broadMatch
Bookkeeping, Accounting, and Auditing Clerks;auditing clerk;broadMatch
Bookkeeping, Accounting, and Auditing Clerks;accounting analyst;broadMatch
Bookkeeping, Accounting, and Auditing Clerks;accountant;broadMatch
Bookkeeping, Accounting, and Auditing Clerks;billing clerk;broadMatch
Bookkeeping, Accounting, and Auditing Clerks;payroll clerk;broadMatch
Gambling Cage Workers;casino cashier;exactMatch
Payroll and Timekeeping Clerks;payroll clerk;exactMatch
Procurement Clerks;ICT buyer;broadMatch
Procurement Clerks;purchase planner;broadMatch
Procurement Clerks;procurement support officer;exactMatch
Tellers;bank teller;exactMatch
Brokerage Clerks;financial markets back office administrator;exactMatch
Brokerage Clerks;back office specialist;narrowMatch
Correspondence Clerks;foreign language correspondence clerk;narrowMatch
Court, Municipal, and License Clerks;court clerk;broadMatch
Customer Service Representatives;customer service representative;exactMatch
File Clerks;medical records clerk;broadMatch
File Clerks;file clerk;exactMatch
Hotel, Motel, and Resort Desk Clerks;hotel concierge;exactMatch
Interviewers, Except Eligibility and Loan;survey enumerator;broadMatch
Interviewers, Except Eligibility and Loan;market research interviewer;broadMatch
Library Assistants, Clerical;library assistant;narrowMatch
Library Assistants, Clerical;zoo registrar;broadMatch
New Accounts Clerks;bank account manager;exactMatch
Order Clerks;sales processor;broadMatch
Order Clerks;office clerk;narrowMatch
Human Resources Assistants, Except Payroll and Timekeeping;human resources assistant;exactMatch
Human Resources Assistants, Except Payroll and Timekeeping;human resources officer;narrowMatch
Receptionists and Information Clerks;hospitality establishment receptionist;broadMatch
Receptionists and Information Clerks;receptionist;broadMatch
Receptionists and Information Clerks;front line medical receptionist;broadMatch
Receptionists and Information Clerks;customer contact centre information clerk;broadMatch
Receptionists and Information Clerks;veterinary receptionist;broadMatch
Reservation and Transportation Ticket Agents and Travel Clerks;travel consultant;narrowMatch
Reservation and Transportation Ticket Agents and Travel Clerks;ticket sales agent;exactMatch
Reservation and Transportation Ticket Agents and Travel Clerks;ticket issuing clerk;broadMatch
Information and Record Clerks, All Other;membership administrator;broadMatch
Cargo and Freight Agents;freight transport dispatcher;broadMatch
Cargo and Freight Agents;aircraft cargo operations coordinator;broadMatch
Freight Forwarders;freight transport dispatcher;exactMatch
Freight Forwarders;international forwarding operations coordinator;broadMatch
Freight Forwarders;rail logistics coordinator;broadMatch
Couriers and Messengers;car and van delivery driver;broadMatch
Couriers and Messengers;motorcycle delivery person;broadMatch
Couriers and Messengers;postman/postwoman;broadMatch
Couriers and Messengers;bicycle courier;broadMatch
Public Safety Telecommunicators;emergency medical dispatcher;exactMatch
Dispatchers, Except Police, Fire, and Ambulance;distribution centre dispatcher;broadMatch
Dispatchers, Except Police, Fire, and Ambulance;ship pilot dispatcher;broadMatch
Dispatchers, Except Police, Fire, and Ambulance;taxi controller;broadMatch
Dispatchers, Except Police, Fire, and Ambulance;aircraft dispatcher;broadMatch
Dispatchers, Except Police, Fire, and Ambulance;bus route supervisor;broadMatch
Dispatchers, Except Police, Fire, and Ambulance;freight transport dispatcher;broadMatch
Dispatchers, Except Police, Fire, and Ambulance;train dispatcher;broadMatch
Dispatchers, Except Police, Fire, and Ambulance;vessel operations coordinator;broadMatch
Meter Readers, Utilities;meter reader;exactMatch
Postal Service Clerks;post office counter clerk;exactMatch
Postal Service Mail Carriers;postman/postwoman;exactMatch
Postal Service Mail Sorters, Processors, and Processing Machine Operators;mail clerk;narrowMatch
Production, Planning, and Expediting Clerks;leather production planner;broadMatch
Production, Planning, and Expediting Clerks;food production planner;broadMatch
Production, Planning, and Expediting Clerks;machinery assembly coordinator;broadMatch
Production, Planning, and Expediting Clerks;gas scheduling representative;broadMatch
Shipping, Receiving, and Inventory Clerks;raw materials warehouse specialist;broadMatch
Shipping, Receiving, and Inventory Clerks;inventory coordinator;exactMatch
Shipping, Receiving, and Inventory Clerks;move coordinator;broadMatch
Weighers, Measurers, Checkers, and Samplers, Recordkeeping;raw material reception operator;broadMatch
Executive Secretaries and Executive Administrative Assistants;executive assistant;exactMatch
Executive Secretaries and Executive Administrative Assistants;parliamentary assistant;broadMatch
Legal Secretaries and Administrative Assistants;legal administrative assistant;exactMatch
Medical Secretaries and Administrative Assistants;medical administrative assistant;exactMatch
Medical Secretaries and Administrative Assistants;chiropractic assistant;broadMatch
Medical Secretaries and Administrative Assistants;front line medical receptionist;broadMatch
Medical Secretaries and Administrative Assistants;medical transcriptionist;broadMatch
Secretaries and Administrative Assistants, Except Legal, Medical, and Executive;administrative assistant;broadMatch
Secretaries and Administrative Assistants, Except Legal, Medical, and Executive;secretary;broadMatch
Data Entry Keyers;data entry clerk;exactMatch
Word Processors and Typists;typist;exactMatch
Word Processors and Typists;court reporter;broadMatch
Word Processors and Typists;medical transcriptionist;broadMatch
Desktop Publishers;desktop publisher;exactMatch
Desktop Publishers;typesetter;broadMatch
Insurance Claims and Policy Processing Clerks;insurance clerk;exactMatch
Mail Clerks and Mail Machine Operators, Except Postal Service;mail clerk;exactMatch
Office Clerks, General;office clerk;exactMatch
Office Machine Operators, Except Computer;reprographics technician;broadMatch
Office Machine Operators, Except Computer;bindery operator;broadMatch
Office Machine Operators, Except Computer;scanning operator;broadMatch
Office Machine Operators, Except Computer;print folding operator;broadMatch
Proofreaders and Copy Markers;proofreader;broadMatch
Proofreaders and Copy Markers;typesetter;broadMatch
Proofreaders and Copy Markers;copy editor;broadMatch
Statistical Assistants;statistical assistant;exactMatch
Statistical Assistants;actuarial assistant;broadMatch
Office and Administrative Support Workers, All Other;election observer;broadMatch
First-Line Supervisors of Farming, Fishing, and Forestry Workers;aquaculture site supervisor;broadMatch
First-Line Supervisors of Farming, Fishing, and Forestry Workers;forestry technician;broadMatch
First-Line Supervisors of Farming, Fishing, and Forestry Workers;agronomic crop production team leader;broadMatch
First-Line Supervisors of Farming, Fishing, and Forestry Workers;fruit production team leader;broadMatch
First-Line Supervisors of Farming, Fishing, and Forestry Workers;equine yard manager;broadMatch
First-Line Supervisors of Farming, Fishing, and Forestry Workers;vineyard supervisor;broadMatch
Agricultural Inspectors;farm milk controller;broadMatch
Agricultural Inspectors;food safety inspector;broadMatch
Agricultural Inspectors;agricultural inspector;exactMatch
Animal Breeders;pig breeder;broadMatch
Animal Breeders;cattle breeder;broadMatch
Animal Breeders;poultry breeder;broadMatch
Animal Breeders;bee breeder;broadMatch
Animal Breeders;sheep breeder;broadMatch
Animal Breeders;dog breeder;broadMatch
Animal Breeders;fur animals breeder;broadMatch
Animal Breeders;horse breeder;broadMatch
Graders and Sorters, Agricultural Products;food grader;narrowMatch
Graders and Sorters, Agricultural Products;product grader;narrowMatch
Graders and Sorters, Agricultural Products;leaf sorter;broadMatch
Graders and Sorters, Agricultural Products;hide grader;broadMatch
Graders and Sorters, Agricultural Products;leaf tier;broadMatch
Agricultural Equipment Operators;land-based machinery operator;exactMatch
Agricultural Equipment Operators;aquaculture cage mooring worker;broadMatch
Agricultural Equipment Operators;cotton gin operator;broadMatch
Farmworkers and Laborers, Crop, Nursery, and Greenhouse;crop production worker;broadMatch
Farmworkers and Laborers, Crop, Nursery, and Greenhouse;horticulture worker;broadMatch
Farmworkers and Laborers, Crop, Nursery, and Greenhouse;fruit and vegetable picker;broadMatch
Farmworkers and Laborers, Crop, Nursery, and Greenhouse;vineyard worker;broadMatch
Farmworkers and Laborers, Crop, Nursery, and Greenhouse;vineyard machinery operator;broadMatch
Farmworkers, Farm, Ranch, and Aquacultural Animals;pig breeder;broadMatch
Farmworkers, Farm, Ranch, and Aquacultural Animals;poultry breeder;broadMatch
Farmworkers, Farm, Ranch, and Aquacultural Animals;aquaculture hatchery worker;broadMatch
Farmworkers, Farm, Ranch, and Aquacultural Animals;aquaculture husbandry worker;broadMatch
Farmworkers, Farm, Ranch, and Aquacultural Animals;cattle pedicure;broadMatch
Farmworkers, Farm, Ranch, and Aquacultural Animals;water-based aquaculture worker;broadMatch
Agricultural Workers, All Other;aquaculture harvesting worker;broadMatch
Fishing and Hunting Workers;hunter;broadMatch
Fishing and Hunting Workers;boatswain;broadMatch
Fishing and Hunting Workers;deep-sea fishery worker;broadMatch
Fishing and Hunting Workers;fisheries deckhand;broadMatch
Fishing and Hunting Workers;fishing net maker;broadMatch
Fishing and Hunting Workers;on foot aquatic resources collector;broadMatch
Forest and Conservation Workers;forest worker;exactMatch
Logging Equipment Operators;forestry equipment operator;exactMatch
Log Graders and Scalers;veneer grader;broadMatch
Log Graders and Scalers;engineered wood board grader;broadMatch
Log Graders and Scalers;pulp grader;broadMatch
Log Graders and Scalers;lumber grader;exactMatch
First-Line Supervisors of Construction Trades and Extraction Workers;construction general supervisor;broadMatch
First-Line Supervisors of Construction Trades and Extraction Workers;bridge construction supervisor;broadMatch
First-Line Supervisors of Construction Trades and Extraction Workers;dredging supervisor;broadMatch
First-Line Supervisors of Construction Trades and Extraction Workers;demolition supervisor;broadMatch
First-Line Supervisors of Construction Trades and Extraction Workers;construction scaffolding supervisor;broadMatch
First-Line Supervisors of Construction Trades and Extraction Workers;concrete finisher supervisor;broadMatch
First-Line Supervisors of Construction Trades and Extraction Workers;sewer construction supervisor;broadMatch
First-Line Supervisors of Construction Trades and Extraction Workers;road construction supervisor;broadMatch
First-Line Supervisors of Construction Trades and Extraction Workers;structural ironwork supervisor;broadMatch
First-Line Supervisors of Construction Trades and Extraction Workers;roofing supervisor;broadMatch
First-Line Supervisors of Construction Trades and Extraction Workers;construction painting supervisor;broadMatch
First-Line Supervisors of Construction Trades and Extraction Workers;lift installation supervisor;broadMatch
First-Line Supervisors of Construction Trades and Extraction Workers;mine shift manager;broadMatch
First-Line Supervisors of Construction Trades and Extraction Workers;paperhanger supervisor;broadMatch
First-Line Supervisors of Construction Trades and Extraction Workers;pipeline route manager;broadMatch
First-Line Supervisors of Construction Trades and Extraction Workers;plumbing supervisor;broadMatch
Boilermakers;boilermaker;exactMatch
